token_id,metadata_cover
342,UNCOMMON
343,RARE
344,UNCOMMON
345,UNCOMMON
346,UNCOMMON
347,UNCOMMON
348,UNCOMMON
349,UNCOMMON
350,UNCOMMON
352,UNCOMMON
353,RARE
354,UNCOMMON
355,UNCOMMON
356,UNCOMMON
357,RARE
358,UNCOMMON
359,UNCOMMON
360,UNCOMMON
361,UNCOMMON
362,UNCOMMON
363,UNCOMMON
364,UNCOMMON
365,UNCOMMON
366,UNCOMMON
367,UNCOMMON
369,UNCOMMON
370,UNCOMMON
371,RARE
372,UNCOMMON
373,UNCOMMON
374,UNCOMMON
375,UNCOMMON
376,RARE
377,UNCOMMON
378,EPIC
379,RARE
301,EPIC
311,UNCOMMON
328,UNCOMMON
339,RARE
351,RARE
368,UNCOMMON
380,UNCOMMON
381,UNCOMMON
382,UNCOMMON
383,UNCOMMON
384,UNCOMMON
385,UNCOMMON
386,UNCOMMON
387,UNCOMMON
388,UNCOMMON
389,UNCOMMON
390,UNCOMMON
391,UNCOMMON
392,UNCOMMON
393,UNCOMMON
394,RARE
395,UNCOMMON
396,RARE
397,UNCOMMON
398,UNCOMMON
399,UNCOMMON
400,RARE
4914,UNCOMMON
401,UNCOMMON
402,RARE
404,RARE
405,UNCOMMON
406,UNCOMMON
407,GOLD
408,UNCOMMON
409,UNCOMMON
410,UNCOMMON
411,UNCOMMON
412,UNCOMMON
7368,UNCOMMON
414,EPIC
415,UNCOMMON
416,UNCOMMON
417,UNCOMMON
418,UNCOMMON
419,UNCOMMON
420,RARE
421,RARE
422,RARE
423,EPIC
424,RARE
426,UNCOMMON
427,UNCOMMON
428,UNCOMMON
429,EPIC
430,RARE
431,UNCOMMON
432,RARE
433,RARE
434,UNCOMMON
435,UNCOMMON
436,RARE
437,UNCOMMON
438,UNCOMMON
439,UNCOMMON
440,UNCOMMON
441,UNCOMMON
443,UNCOMMON
444,UNCOMMON
445,UNCOMMON
446,UNCOMMON
447,EPIC
448,UNCOMMON
449,UNCOMMON
450,RARE
451,UNCOMMON
452,UNCOMMON
453,RARE
7438,EPIC
455,UNCOMMON
456,UNCOMMON
457,UNCOMMON
458,UNCOMMON
459,UNCOMMON
460,UNCOMMON
461,UNCOMMON
462,UNCOMMON
463,RARE
464,RARE
465,UNCOMMON
467,UNCOMMON
468,UNCOMMON
469,UNCOMMON
470,UNCOMMON
471,UNCOMMON
472,UNCOMMON
473,UNCOMMON
474,UNCOMMON
475,UNCOMMON
476,UNCOMMON
477,GOLD
478,UNCOMMON
479,UNCOMMON
480,UNCOMMON
481,UNCOMMON
482,UNCOMMON
484,RARE
485,UNCOMMON
486,UNCOMMON
487,UNCOMMON
488,UNCOMMON
489,GOLD
490,UNCOMMON
491,UNCOMMON
492,UNCOMMON
493,RARE
494,UNCOMMON
403,UNCOMMON
413,UNCOMMON
425,EPIC
442,UNCOMMON
454,RARE
466,RARE
483,UNCOMMON
495,UNCOMMON
496,UNCOMMON
497,UNCOMMON
498,UNCOMMON
499,GOLD
500,UNCOMMON
501,UNCOMMON
502,UNCOMMON
503,UNCOMMON
504,UNCOMMON
505,RARE
506,UNCOMMON
